study,pattern,beta,epsilon_frac,epsilon_scaled,outcome_std,outcome_mean,n_obs,n_treated,n_control,ate_lower,ate_upper,width,width_ratio,coverage,true_ate,naive_ate,naive_bias,n_valid_sites,n_treated_sites,n_control_sites,theta_1_min,theta_1_max,theta_1_range,theta_0_min,theta_0_max,theta_0_range,point_estimate
gainloss,demo_basic,0.25,0.15,0.07494958565211805,0.4996639043474537,1.5203506574827803,3194,1549,1645,0.5127352372979144,0.022659027935060444,-0.4900762093628539,-0.9808117118303331,False,0.2867651053248066,0.292031921761466,0.005266816436659383,35,35,35,1.3888888888888888,1.8709677419354838,0.4820788530465949,1.2083333333333333,1.5161290322580645,0.30779569892473124,0.29449691530318023
gainloss,demo_basic,0.25,0.2,0.09993278086949076,0.4996639043474537,1.5203506574827803,3194,1549,1645,0.462768846863169,0.07262541836980585,-0.39014342849336314,-0.780811711830333,False,0.2867651053248066,0.292031921761466,0.005266816436659383,35,35,35,1.3888888888888888,1.8709677419354838,0.4820788530465949,1.2083333333333333,1.5161290322580645,0.30779569892473124,0.29449691530318023
gainloss,demo_basic,0.5,0.05,0.0249900668013916,0.499801336027832,1.5166200683442064,3219,1558,1661,0.6470745648544396,-0.028280735962434182,-0.6753553008168738,-1.3512474900212468,False,0.2867651053248066,0.29866668624542947,0.011901580920622878,35,35,35,1.4,1.8709677419354838,0.47096774193548385,1.173913043478261,1.4782608695652173,0.3043478260869563,0.2885592455237844
gainloss,demo_basic,0.5,0.1,0.0499801336027832,0.499801336027832,1.5166200683442064,3219,1558,1661,0.5970944312516564,0.02169939764034902,-0.5753950336113074,-1.1512474900212468,False,0.2867651053248066,0.29866668624542947,0.011901580920622878,35,35,35,1.4,1.8709677419354838,0.47096774193548385,1.173913043478261,1.4782608695652173,0.3043478260869563,0.2885592455237844
gainloss,demo_basic,0.5,0.15,0.07497020040417479,0.499801336027832,1.5166200683442064,3219,1558,1661,0.5471142976488732,0.0716795312431322,-0.475434766405741,-0.951247490021247,False,0.2867651053248066,0.29866668624542947,0.011901580920622878,35,35,35,1.4,1.8709677419354838,0.47096774193548385,1.173913043478261,1.4782608695652173,0.3043478260869563,0.2885592455237844
gainloss,demo_basic,0.5,0.2,0.0999602672055664,0.499801336027832,1.5166200683442064,3219,1558,1661,0.49713416404609,0.12165966484591542,-0.3754744992001746,-0.7512474900212469,False,0.2867651053248066,0.29866668624542947,0.011901580920622878,35,35,35,1.4,1.8709677419354838,0.47096774193548385,1.173913043478261,1.4782608695652173,0.3043478260869563,0.2885592455237844
gainloss,demo_basic,1.0,0.05,0.02498736412664506,0.4997472825329012,1.5181932245922207,3188,1543,1645,0.6318434535648916,-0.11556581228725045,-0.7474092658521421,-1.495574447276631,False,0.2867651053248066,0.29695122792018847,0.010186122595381875,35,35,35,1.375,1.8484848484848484,0.4734848484848484,1.1666666666666667,1.5405405405405406,0.37387387387387383,0.2863764392947328
gainloss,demo_basic,1.0,0.1,0.04997472825329012,0.4997472825329012,1.5181932245922207,3188,1543,1645,0.5818687253116014,-0.06559108403396033,-0.6474598093455617,-1.2955744472766308,False,0.2867651053248066,0.29695122792018847,0.010186122595381875,35,35,35,1.375,1.8484848484848484,0.4734848484848484,1.1666666666666667,1.5405405405405406,0.37387387387387383,0.2863764392947328
gainloss,demo_basic,1.0,0.15,0.07496209237993517,0.4997472825329012,1.5181932245922207,3188,1543,1645,0.5318939970583113,-0.015616355780670221,-0.5475103528389815,-1.095574447276631,False,0.2867651053248066,0.29695122792018847,0.010186122595381875,35,35,35,1.375,1.8484848484848484,0.4734848484848484,1.1666666666666667,1.5405405405405406,0.37387387387387383,0.2863764392947328
gainloss,demo_basic,1.0,0.2,0.09994945650658024,0.4997472825329012,1.5181932245922207,3188,1543,1645,0.4819192688050212,0.034358372472619914,-0.44756089633240126,-0.8955744472766308,False,0.2867651053248066,0.29695122792018847,0.010186122595381875,35,35,35,1.375,1.8484848484848484,0.4734848484848484,1.1666666666666667,1.5405405405405406,0.37387387387387383,0.2863764392947328
