method,ate,se,ci_lower,ci_upper,n_treated,n_control,ground_truth_ate,bias,abs_bias,relative_bias,covers_truth,study,pattern,beta,seed,dataset_path,ground_truth_se,n_obs,propensity_mean,propensity_std,propensity_min,propensity_max,n_used,r_squared,n_matched,match_rate,caliper_used,error
psm,2559.9046495956873,36.97813843487966,2487.4274982633233,2632.3818009280512,1486.0,1333.0,2494.929066733021,64.97558286266622,64.97558286266622,0.026043058189124526,True,anchoring4,demo_basic,0.25,42,confounded_datasets/anchoring4/demo_basic_beta0.25_seed42.csv,27.510776742010567,2819,,,,,,,1484.0,0.9986541049798116,0.017032207460929902,
naive,2528.7478455831397,38.474131070202084,2453.3385486855436,2604.1571424807357,1480.0,1326.0,2494.929066733021,33.81877885011863,33.81877885011863,0.013555006152700987,True,anchoring4,demo_basic,0.5,42,confounded_datasets/anchoring4/demo_basic_beta0.5_seed42.csv,27.510776742010567,2806,,,,,,,,,,
ipw,2520.434111191682,41.48744226601872,2439.1187243502854,2601.7494980330785,,,2494.929066733021,25.505044458660905,25.505044458660905,0.010222753343468166,True,anchoring4,demo_basic,0.5,42,confounded_datasets/anchoring4/demo_basic_beta0.5_seed42.csv,27.510776742010567,2806,0.5274530504969499,0.1512679693580079,0.25054570115741076,0.9461565379228469,2806.0,,,,,
outcome_regression,2534.3492829476986,41.075918661835885,2453.8404823705005,2614.8580835248968,,,2494.929066733021,39.420216214677566,39.420216214677566,0.01580013505806651,True,anchoring4,demo_basic,0.5,42,confounded_datasets/anchoring4/demo_basic_beta0.5_seed42.csv,27.510776742010567,2806,,,,,2806.0,0.6075508595303767,,,,
aipw,2519.9160346399613,40.773659824490785,2439.9996613839594,2599.832407895963,,,2494.929066733021,24.986967906940208,24.986967906940208,0.010015101527379026,True,anchoring4,demo_basic,0.5,42,confounded_datasets/anchoring4/demo_basic_beta0.5_seed42.csv,27.510776742010567,2806,0.5274530504969499,0.1512679693580079,,,2806.0,,,,,
psm,2573.5926301555105,37.19468718178482,2500.6910432792124,2646.4942170318086,1480.0,1326.0,2494.929066733021,78.66356342248946,78.66356342248946,0.03152937871916947,False,anchoring4,demo_basic,0.5,42,confounded_datasets/anchoring4/demo_basic_beta0.5_seed42.csv,27.510776742010567,2806,,,,,,,1479.0,0.9993243243243243,0.03025359387160158,
naive,2527.9066377641793,38.66392640012005,2452.125342019944,2603.6879335084145,1473.0,1329.0,2494.929066733021,32.97757103115828,32.97757103115828,0.013217839124516946,True,anchoring4,demo_basic,0.75,42,confounded_datasets/anchoring4/demo_basic_beta0.75_seed42.csv,27.510776742010567,2802,,,,,,,,,,
ipw,2505.1515915749255,43.47034905122549,2419.9497074345236,2590.3534757153275,,,2494.929066733021,10.222524841904487,10.222524841904487,0.00409732083296875,True,anchoring4,demo_basic,0.75,42,confounded_datasets/anchoring4/demo_basic_beta0.75_seed42.csv,27.510776742010567,2802,0.5257518980281815,0.20017772401927583,0.1637444359799,0.9841412033442664,2802.0,,,,,
outcome_regression,2539.708855315043,37.3461080847927,2466.510483468849,2612.9072271612367,,,2494.929066733021,44.779788582021865,44.779788582021865,0.017948321328693586,True,anchoring4,demo_basic,0.75,42,confounded_datasets/anchoring4/demo_basic_beta0.75_seed42.csv,27.510776742010567,2802,,,,,2802.0,0.6054176972664276,,,,
aipw,2511.3476503578677,47.01800730629349,2419.1923560375326,2603.5029446782028,,,2494.929066733021,16.418583624846633,16.418583624846633,0.0065807817319415455,True,anchoring4,demo_basic,0.75,42,confounded_datasets/anchoring4/demo_basic_beta0.75_seed42.csv,27.510776742010567,2802,0.5257518980281815,0.20017772401927583,,,2802.0,,,,,
psm,2636.887644263408,37.80783035492512,2562.7842967677548,2710.9909917590617,1473.0,1329.0,2494.929066733021,141.95857753038717,141.95857753038717,0.05689884310669982,False,anchoring4,demo_basic,0.75,42,confounded_datasets/anchoring4/demo_basic_beta0.75_seed42.csv,27.510776742010567,2802,,,,,,,1473.0,1.0,0.04003554480385517,
naive,2541.622383303434,38.68804011971037,2465.793824668802,2617.4509419380665,1470.0,1331.0,2494.929066733021,46.69331657041312,46.69331657041312,0.01871528821921802,True,anchoring4,demo_basic,1.0,42,confounded_datasets/anchoring4/demo_basic_beta1.0_seed42.csv,27.510776742010567,2801,,,,,,,,,,
ipw,2495.839430119657,75.46842241371594,2347.921322188774,2643.7575380505405,,,2494.929066733021,0.9103633866361633,0.9103633866361633,0.00036488547861933266,True,anchoring4,demo_basic,1.0,42,confounded_datasets/anchoring4/demo_basic_beta1.0_seed42.csv,27.510776742010567,2801,0.5247399540502311,0.24164477278130908,0.09699797835946698,0.99,2801.0,,,,,
outcome_regression,2569.9694930610517,44.17931875872907,2483.378028293943,2656.5609578281606,,,2494.929066733021,75.04042632803066,75.04042632803066,0.030077178276772483,True,anchoring4,demo_basic,1.0,42,confounded_datasets/anchoring4/demo_basic_beta1.0_seed42.csv,27.510776742010567,2801,,,,,2801.0,0.6076592687107876,,,,
aipw,2506.9901809405883,65.43171304924687,2378.7440233640646,2635.236338517112,,,2494.929066733021,12.061114207567243,12.061114207567243,0.004834251349422387,True,anchoring4,demo_basic,1.0,42,confounded_datasets/anchoring4/demo_basic_beta1.0_seed42.csv,27.510776742010567,2801,0.5247399540502311,0.24164477278130908,,,2801.0,,,,,
